Sample	exp	RNAreads	exp_RNA	DNAreads	exp_DNA	MAD_score_log2	phase	total_bins	unrep_bins	rep_bins	nodata_bins	repliscore
RNA_8CEmbryo1_Cell6_020_scRR1	scRR1	3000000	scRR1	4000000	scRR1	0.281191724	G1	51976	50130	1838	8	0.035367919
RNA_8CEmbryo1_Cell7_021_scRR1	scRR1	3000000	scRR1	4000000	scRR1	0.433739808	S	51976	11515	40324	137	0.777869943
RNA_8CEmbryo2_Cell6_023_scRR1	scRR1	3000000	scRR1	4000000	scRR1	0.505621334	S	51976	13359	38488	129	0.742338033
RNA_8CEmbryo2_Cell3_017_scRR3	scRR3	3000000	scRR3	4000000	scRR3	0.287753463	G1	51976	51487	482	7	0.00927476
RNA_8CEmbryo1_Cell1_011_scRR3	scRR3	3000000	scRR3	4000000	scRR3	0.255275514	G1	51976	51936	2	38	3.85E-05
RNA_8CEmbryo2_Cell7_024_scRR1	scRR1	3000000	scRR1	4000000	scRR1	0.474492765	S	51976	11963	39906	107	0.769361276
RNA_8CEmbryo2_Cell5_022_scRR1	scRR1	3000000	scRR1	4000000	scRR1	0.632795425	S	51976	19078	31634	1264	0.623797129
RNA_8CEmbryo2_Cell2_016_scRR3	scRR3	3000000	scRR3	4000000	scRR3	0.444128074	S	51976	10093	41702	181	0.805135631
RNA_8CEmbryo2_Cell8_025_scRR1	scRR1	3000000	scRR1	4000000	scRR1	0.465697396	S	51976	11043	40773	160	0.7868805
GTseq.RNA.140619.G1.sc.1996943	GTseq	2266951	Gtseq_low	2978023	Gtseq_low	0.937400856	S	51976	27857	20769	3350	0.42711718
GTseq.RNA.140619.G2.sc.1996944	GTseq	2872008	Gtseq_low	3499378	Gtseq_low	1.285019041	S	51976	22635	13669	15672	0.376514985
GTseq.RNA.140619.G3.sc.1996945	GTseq	3221462	Gtseq_high	4080822	Gtseq_high	1.296487914	S	51976	22587	11690	17699	0.341045016
GTseq.RNA.140619.G4.sc.1996946	GTseq	2206346	Gtseq_low	3931392	Gtseq_low	1.4826	S	51976	21823	18194	11959	0.454656771
GTseq.RNA.140619.G5.sc.1996947	GTseq	3963316	Gtseq_high	4038475	Gtseq_high	0.960277434	S	51976	29266	19304	3406	0.397446984
GTseq.RNA.140619.G7.sc.1996949	GTseq	4612776	Gtseq_high	4852597	Gtseq_high	0.949542457	S	51976	21804	23548	6624	0.519227377
GTseq.RNA.140619.G8.sc.1996950	GTseq	4509503	Gtseq_high	2972190	Gtseq_low	0.723658485	S	51976	22097	29325	554	0.570281203
GTseq.RNA.140619.H1.sc.1996953	GTseq	1923810	Gtseq_low	2712339	Gtseq_low	1.005309407	S	51976	29003	14070	8903	0.326654749
GTseq.RNA.140619.H2.sc.1996954	GTseq	3097391	Gtseq_high	5025671	Gtseq_high	1.230669193	S	51976	21720	17165	13091	0.441429857
GTseq.RNA.140619.H3.sc.1996955	GTseq	2282282	Gtseq_low	2606910	Gtseq_low	1.067311999	S	51976	25216	14542	12218	0.365762865
GTseq.RNA.140619.H4.sc.1996956	GTseq	2857217	Gtseq_low	4276078	Gtseq_high	1.378240782	S	51976	19806	13817	18353	0.410938941
GTseq.RNA.140619.H5.sc.1996957	GTseq	2986220	Gtseq_high	5060236	Gtseq_high	1.072634954	S	51976	26936	15185	9855	0.36050901
GTseq.RNA.140619.H7.sc.1996959	GTseq	2421162	Gtseq_low	3970516	Gtseq_high	1.242787864	S	51976	21151	16888	13937	0.443965404
GTseq.RNA.140619.H8.sc.1996960	GTseq	2789409	Gtseq_low	3771398	Gtseq_low	1.115022669	S	51976	21235	18677	12064	0.4679545
